word,galls
볼넷,"[20210818_lgtwins_new(198.87),20210818_samsunglions_new(69.71),20210818_ktwiz(38.95),20210818_hanwhaeagles_new(28.70),20210818_baseball_ab2(24.60),20210818_sh_new(22.55),20210818_giants_new2(20.50),20210818_tigers_new(18.45),20210818_doosanbears_new1(12.30),20210818_skwyverns(12.30)]"
제구,"[20210818_lgtwins_new(191.68),20210818_samsunglions_new(55.33),20210818_hanwhaeagles_new(49.40),20210818_doosanbears_new1(35.57),20210818_ncdinos(25.69),20210818_tigers_new(23.71),20210818_ktwiz(19.76),20210818_sh_new(15.81),20210818_giants_new2(15.81),20210818_skwyverns(9.88)]"
이브,"[20210818_top12(690.77),20210818_grsgills(534.72),20210818_akb48(185.89),20210818_w_entertainer(87.21),20210818_etc_program2(61.96),20210818_baseball_new10(61.20),20210818_bts(22.18),20210818_elsword(16.83),20210818_idolmaster(9.94),20210818_redvelvet(7.65)]"
병살,"[20210818_lgtwins_new(193.65),20210818_ktwiz(94.85),20210818_samsunglions_new(88.92),20210818_sh_new(71.14),20210818_baseball_ab2(41.50),20210818_giants_new2(41.50),20210818_skwyverns(33.59),20210818_lotto_new2(29.64),20210818_doosanbears_new1(29.64),20210818_ncdinos(19.76)]"
수아레즈,"[20210818_lgtwins_new(186.34),20210818_ktwiz(19.76),20210818_lotto_new2(14.12),20210818_baseball_ab2(5.65),20210818_tigers_new(5.65)]"
안붕,"[20210818_comic_new2(1012.75),20210818_typemoon(24.62)]"
만개,"[20210818_comic_new2(413.40),20210818_fantasy_new(10.69),20210818_idolmaster(5.35),20210818_leagueoflegends4(1.78),20210818_typemoon(1.78),20210818_stream(1.78),20210818_football_new7(1.78),20210818_granblue(1.78),20210818_w_entertainer(1.78),20210818_boardgame(1.78)]"
만화,"[20210818_comic_new2(248.53),20210818_fantasy_new(37.75),20210818_idolmaster(32.25),20210818_typemoon(18.88),20210818_divination(9.44),20210818_stream(8.65),20210818_baseball_new10(7.08),20210818_toy(6.29),20210818_maplestory(5.51),20210818_ani1_new1(5.51)]"
삼전,"[20210818_neostock(629.44),20210818_m_entertainer1(30.48),20210818_smartphone(18.29),20210818_comic_new2(10.67),20210818_drama_new3(9.14),20210818_fantasy_new(4.57),20210818_maplestory(4.57),20210818_samsunglions_new(4.57),20210818_bitcoins(3.05),20210818_car_new1(3.05)]"
번역,"[20210818_comic_new2(176.79),20210818_idolmaster(18.29),20210818_fantasy_new(13.72),20210818_granblue(9.14),20210818_japan_entertainment(6.10),20210818_typemoon(4.57),20210818_bitcoins(4.57),20210818_ani1_new1(3.05),20210818_touhou(3.05),20210818_tr(1.52)]"
동희,"[20210818_giants_new2(622.07),20210818_tigers_new(46.25),20210818_sh_new(16.19),20210818_baseball_ab2(16.19),20210818_lgtwins_new(13.88),20210818_skwyverns(11.56),20210818_hanwhaeagles_new(2.31),20210818_doosanbears_new1(2.31),20210818_samsunglions_new(2.31)]"
판개,"[20210818_fantasy_new(643.52),20210818_typemoon(3.52)]"
프랑코,"[20210818_giants_new2(553.05),20210818_sh_new(78.15),20210818_baseball_ab2(15.03),20210818_skwyverns(3.01)]"
애니,"[20210818_comic_new2(133.11),20210818_ani1_new1(38.25),20210818_lostark(32.89),20210818_typemoon(16.83),20210818_fantasy_new(16.83),20210818_idolmaster(13.00),20210818_stream(13.00),20210818_toy(10.71),20210818_pokemon(9.18),20210818_leagueoflegends4(6.88)]"
진구,"[20210818_comic_new2(135.52),20210818_typemoon(5.65),20210818_mabi_heroes2(5.65),20210818_baseball_ab2(2.82),20210818_grsgills(2.82)]"
오베론,"[20210818_typemoon(871.78),20210818_elsword(12.92),20210818_idolmaster(3.23)]"
